Rank,Bus,Vol_Dev,Vol_Dev_Score,Net_Pwr_Fluct,Net_Pwr_Fluct_Score,DG_Cap,DG_Cap_Score,Total_Score
51,52,0.0253567983580039,0.009294625848622,4.117,0.000781300660833853,2.5,0.000719631548647093,0.0107955580581029
52,33,0.000654315695249985,0.00023984177688229,21.16,0.00401562350819634,15,0.00431778929188256,0.00857325457696119
53,34,0.000967266630998442,0.000354555070559601,18.865,0.00358009156342741,10,0.00287852619458837,0.00681317282857538
54,6,0.0116004704818202,0.0042521942744585,3.647,0.000692106754933462,2.5,0.000719631548647093,0.00566393257803906
55,43,0.00138609481176311,0.000508078050081887,7.67,0.00145556863458724,5,0.00143926309729419,0.00340290978196331
56,35,0.00104336777816905,0.000382450220397334,7.67,0.00145556863458724,5,0.00143926309729419,0.00327728195227876
57,41,0.00107082778220591,0.000392515783869534,1.534,0.000291113726917447,1,0.000287852619458837,0.000971482130245818
58,44,0.00139391289978608,0.000510943798430679,0,0,0,0,0.000510943798430679
59,42,0.00134928548653424,0.000494585459222734,0,0,0,0,0.000494585459222734
60,5,0.000975832171556168,0.000357694800329552,0,0,0,0,0.000357694800329552
61,32,0.000381421842253205,0.000139811551292185,0,0,0,0,0.000139811551292185
62,38,0.00036036365515224,0.000132092596896196,0,0,0,0,0.000132092596896196
63,31,0.000267404890942124,9.80182267614276e-05,0,0,0,0,9.80182267614276e-05
64,30,0.000244601548790802,8.96595794904973e-05,0,0,0,0,8.96595794904973e-05
65,47,0.000163030225045935,5.97593167096469e-05,0,0,0,0,5.97593167096469e-05
66,4,0.000131830751042172,4.8323037040402e-05,0,0,0,0,4.8323037040402e-05
67,3,5.49722102995975e-05,2.01502618584828e-05,0,0,0,0,2.01502618584828e-05
68,2,2.74862245354113e-05,1.0075174690468e-05,0,0,0,0,1.0075174690468e-05
69,1,0,0,0,0,0,0,0
